date,dau,dau_low,dau_high,wau,wau_low,wau_high,mau,mau_low,mau_high,intensity,intensity_low,intensity_high,retention_1_week_new_profile,retention_1_week_new_profile_low,retention_1_week_new_profile_high,retention_1_week_active_in_week_0,retention_1_week_active_in_week_0_low,retention_1_week_active_in_week_0_high
2019-01-01,57410998,57397485.33156284,57424510.66843716,146943682,146922823.24718818,146964540.75281182,264218438,264185144.57035995,264251731.42964005,3.3140672016099337,3.3137028974628855,3.314431505756982,0.33850936305664675,0.33676246040191626,0.34025626571137724,0.791112427574236,0.7910343775442719,0.7911904776042002
2019-02-01,94793868,94779329.27152091,94808406.72847909,177416068,177391900.48779988,177440235.51220012,270691020,270657441.9654493,270724598.0345507,3.5497382401688666,3.5494014136317538,3.5500750667059795,0.2967978402123181,0.2960665382306486,0.2975291421939876,0.7745920376669023,0.7745382082857223,0.7746458670480824
2019-03-01,96652140,96629058.3129947,96675221.6870053,177405833,177372565.62713626,177439100.37286374,269482175,269446083.2442327,269518266.7557673,3.5399794943608196,3.5396325597879708,3.5403264289336684,0.2970567820215806,0.29593544561657287,0.2981781184265883,0.7753082125375684,0.7752391569884084,0.7753772680867285
2019-04-01,98296605,98279912.10532293,98313297.89467707,175795459,175776622.73253623,175814295.26746377,270584390,270552052.64289165,270616727.35710835,3.512564917845802,3.5122161253229334,3.5129137103686703,0.28927080127646954,0.288410015291566,0.29013158726137306,0.7656266836377206,0.7655722874361282,0.765681079839313
2019-05-01,69718381,69700331.78519082,69736430.21480918,167648588,167622954.4111307,167674221.5888693,259033699,259006418.12909275,259060979.87090725,3.3558819535062234,3.355508250779945,3.3562556562325017,0.2025056844789745,0.2018104661861019,0.20320090277184708,0.7236933233683112,0.7236088178331332,0.7237778289034891
2019-06-01,60220603,60206952.05109333,60234253.94890667,164903803,164875817.0961972,164931788.9038028,234293618,234263156.49748227,234324079.50251773,3.4311243143373718,3.4308257171334575,3.431422911541286,0.3535446141919392,0.35239105626647127,0.3546981721174072,0.7650508975410873,0.764976860734303,0.7651249343478717
2019-07-01,89510554,89494299.14369564,89526808.85630436,161960542,161933325.25570294,161987758.74429706,250219885,250186112.15110317,250253657.84889683,3.4695150625020754,3.469201270953423,3.469828854050728,0.35815751744161634,0.3569911228989824,0.3593239119842503,0.7615219009875865,0.7614587943875757,0.7615850075875974
2019-08-01,85970198,85949633.17049666,85990762.82950334,154820773,154791482.18671125,154850063.81328875,240062301,240029153.64267346,240095448.35732654,3.4892913045977365,3.4889850943900833,3.4895975148053897,0.3452844064615931,0.34430207771549526,0.3462667352076909,0.752824794200864,0.7527492168582763,0.7529003715434517
2019-09-01,57742621,57727175.81269356,57758066.18730644,159473035,159444543.4218169,159501526.5781831,242103388,242070095.8778982,242136680.1221018,3.4808887283044436,3.4805706764925253,3.481206780116362,0.34990491668408735,0.3487140639127521,0.3510957694554226,0.7599885362672011,0.7599139128741333,0.7600631596602688
2019-10-01,92752767,92734721.50581488,92770812.49418512,168911446,168886082.84153286,168936809.15846714,257113965,257089513.74499685,257138416.25500315,3.4710664663897317,3.470748699648707,3.4713842331307565,0.28321105168930005,0.28250562802680423,0.28391647535179587,0.7639578694113008,0.7638911571040685,0.7640245817185332
2019-11-01,78749499,78731432.60763139,78767565.39236861,163171162,163145244.95231646,163197079.04768354,256147424,256120415.34699655,256174432.65300345,3.4325722764663524,3.4322452409232818,3.432899312009423,0.3010588096589755,0.30023346404451534,0.3018841552734357,0.7657064835726451,0.7656336511028577,0.7657793160424325
