date,dau,dau_low,dau_high,wau,wau_low,wau_high,mau,mau_low,mau_high,intensity,intensity_low,intensity_high,retention_1_week_new_profile,retention_1_week_new_profile_low,retention_1_week_new_profile_high,retention_1_week_active_in_week_0,retention_1_week_active_in_week_0_low,retention_1_week_active_in_week_0_high
2018-02-19,103073765,103057659.36660491,103089870.63339509,189931742,189901961.67033923,189961522.32966077,295727425,295689466.53043395,295765383.46956605,3.4576061962302225,3.4573186504986877,3.4578937419617573,0.30390740050210757,0.3028654967104726,0.30494930429374256,0.7781986542692713,0.7781343466629517,0.7782629618755909
2018-02-20,105863454,105842451.83870403,105884456.16129597,190059350,190029270.81479755,190089429.18520245,295437360,295399442.0464157,295475277.9535843,3.4716482351433906,3.4713580568899625,3.4719384133968187,0.28845118653590524,0.2877715614391689,0.2891308116326416,0.7812014001730665,0.7811426293583977,0.7812601709877353
2018-02-21,106230937,106211700.00856227,106250173.99143773,190192609,190164141.5162131,190221076.4837869,295106391,295068828.9793444,295143953.0206556,3.4796147046912846,3.4793271670741843,3.479902242308385,0.29906649094346505,0.298416939876091,0.29971604201083907,0.7809496198118586,0.7808872903258116,0.7810119492979056
2018-02-22,106447397,106430122.12274686,106464671.87725314,190902467,190873369.91588444,190931564.08411556,294798394,294761663.8519954,294835124.1480046,3.47877837534703,3.478475634967003,3.479081115727057,0.29291013849794395,0.2920872153534535,0.2937330616424344,0.7787291358249079,0.7786696601411535,0.7787886115086623
2018-02-23,100626562,100611226.07796422,100641897.92203578,191122020,191093363.68335387,191150676.31664613,294575676,294540068.344088,294611283.655912,3.4914875271828962,3.4911135275858327,3.4918615267799598,0.29699107622232596,0.2959793941409863,0.2980027583036656,0.7764538500810774,0.7764040007647152,0.7765036993974396
2018-02-24,76759348,76744375.58954175,76774320.41045825,191784999,191757399.84755751,191812598.15244249,294586874,294549304.30096513,294624443.69903487,3.493740691366586,3.4933742046207024,3.4941071781124697,0.3503347295499143,0.3495249685794263,0.3511444905204023,0.773847946047391,0.7738094230811552,0.7738864690136269
2018-02-25,73422062,73406237.82025988,73437886.17974012,192232959,192204825.99668455,192261092.00331545,294508068,294469899.49103564,294546236.50896436,3.497961684083529,3.497572918146878,3.49835045002018,0.35668380462724936,0.3558215103190562,0.35754609893544254,0.773672784710646,0.7736105308034736,0.7737350386178184
2018-02-26,109146508,109131890.28168344,109161125.71831656,194357688,194331848.3197836,194383527.6802164,294491612,294453925.228327,294529298.771673,3.490966963961827,3.4905857116694605,3.4913482162541936,0.3043974233847355,0.3037199368523444,0.30507490991712666,0.7733803196495156,0.7733333524744985,0.7734272868245327
2018-02-27,110593164,110572741.6050421,110613586.3949579,195340259,195312550.5776466,195367967.4223534,294350018,294311577.7730509,294388458.2269491,3.497619904353664,3.497229639513356,3.4980101691939725,0.2955860377209188,0.2948851238025551,0.2962869516392825,0.7768607490767855,0.7768123750349161,0.7769091231186549
2018-02-28,110153844,110137709.93998131,110169978.06001869,195968747,195943080.9757427,195994413.0242573,294134262,294097538.44978476,294170985.55021524,3.5064207712671656,3.506034400684621,3.50680714184971,0.3051877878376904,0.30430493502348693,0.3060706406518939,0.778045542316937,0.7779924124112443,0.7780986722226297
2018-03-01,108452493,108436029.16949031,108468956.83050969,196156986,196131947.17809087,196182024.82190913,293952112,293914470.7338599,293989753.2661401,3.513277783540169,3.5129412290041624,3.513614338076176,0.31397296853729295,0.31316977065881246,0.31477616641577344,0.7786598280259097,0.778602971496835,0.7787166845549844
2018-03-02,101953961,101939069.44971645,101968852.55028355,195455386,195428401.60046017,195482370.39953983,293658381,293621803.83286244,293694958.16713756,3.5326802403899986,3.5323670479360954,3.532993432843902,0.3173210758557066,0.3165862667595067,0.31805588495190656,0.779292730808877,0.7792378297220728,0.7793476318956811
2018-03-03,77068607,77057495.68385391,77079718.31614609,195585714,195557190.86071986,195614237.13928014,293689133,293652366.14376247,293725899.85623753,3.5319074428922757,3.5316129120429953,3.532201973741556,0.3569530719603236,0.3561653125500391,0.35774083137060814,0.7765590292699093,0.7765029101560694,0.7766151483837491
2018-03-04,73640673,73624456.30344442,73656889.69655558,195587157,195560176.3136762,195614137.6863238,293657971,293621447.5251397,293694494.4748603,3.5329991017764013,3.53270163333194,3.5332965702208625,0.36305853320646553,0.3619500860439099,0.3641669803690212,0.7770177553126052,0.7769579495553453,0.7770775610698651
2018-03-05,109531147,109511724.61917153,109550569.38082847,196623314,196597029.41644868,196649598.58355132,293857112,293821554.69427156,293892669.30572844,3.5163372793116485,3.5160441666556026,3.5166303919676944,0.31232408516718674,0.3115727510149452,0.3130754193194283,0.7772967224860143,0.7772382826972801,0.7773551622747485
2018-03-06,110445580,110431416.0172798,110459743.9827202,196810145,196784194.3427616,196836095.6572384,293927596,293891426.67775637,293963765.32224363,3.512249355844944,3.5119110375683533,3.5125876741215345,0.30256263517380283,0.30193886835047656,0.3031864019971291,0.7805806251391862,0.780516503906067,0.7806447463723055
2018-03-07,109573039,109559270.15618512,109586807.84381488,196500647,196472050.49169204,196529243.50830796,293983434,293945823.927223,294021044.072777,3.514825577139194,3.514471980049701,3.515179174228687,0.30945910836791585,0.30853656862263945,0.31038164811319224,0.7807432458622032,0.7806997966346639,0.7807866950897425
2018-03-08,105052824,105034830.48356533,105070817.51643467,195825213,195799458.28020367,195850967.71979633,293825814,293788848.61492044,293862779.38507956,3.509588068212646,3.5093106995112118,3.5098654369140805,0.3008081032208327,0.29977803633392647,0.3018381701077389,0.7786864369622498,0.7786342784282659,0.7787385954962337
2018-03-09,101393998,101379953.08329324,101408042.91670676,195102142,195076892.48375168,195127391.51624832,293671029,293635279.52754813,293706778.47245187,3.5197249038916243,3.5194192746986572,3.5200305330845914,0.3042361025192009,0.30334057140565074,0.3051316336327511,0.775656848902788,0.7756139903239616,0.7756997074816143
2018-03-10,76263451,76248580.68809181,76278321.31190819,195001692,194975767.17873797,195027616.82126203,293726315,293689411.5595947,293763218.4404053,3.517409028430379,3.517126351366963,3.5176917054937955,0.34815834749722147,0.3467636428414325,0.3495530521530104,0.7721345633022542,0.7720865508493224,0.7721825757551859
2018-03-11,73310866,73298526.26744117,73323205.73255883,194784493,194759271.0583628,194809714.9416372,293681148,293644118.8893405,293718177.1106595,3.5196380083500793,3.5193612457485517,3.519914770951607,0.3523459267020694,0.3510832505170337,0.35360860288710505,0.7710609976706861,0.7710197385241949,0.7711022568171774
2018-03-12,110073563,110060485.04054874,110086640.95945126,195744952,195720253.8529119,195769650.1470881,294185881,294149790.033863,294221971.966137,3.5051392845114084,3.5047959029090836,3.5054826661137333,0.29466704632675134,0.2939370728200929,0.29539701983340977,0.7691328942993532,0.7690820278859963,0.76918376071271
2018-03-13,110741786,110721655.07610178,110761916.92389822,196075360,196051021.18358213,196099698.81641787,294655087,294618053.86924726,294692120.13075274,3.5007434233449835,3.5004362797864492,3.5010505669035177,0.28804053216437325,0.28723342384811634,0.28884764048063016,0.7714803442874767,0.7714184371290721,0.7715422514458813
2018-03-14,109705899,109685497.15003341,109726300.84996659,196132087,196108152.04046014,196156021.95953986,294901235,294864605.8109252,294937864.1890748,3.5004083090188094,3.5001062091679933,3.5007104088696255,0.2980988026392709,0.2973217080088534,0.29887589726968844,0.7718468055728251,0.7717735788803167,0.7719200322653336
2018-03-15,108417047,108397966.48596533,108436127.51403467,196408336,196385377.57096258,196431294.42903742,295117765,295081794.04536295,295153735.95463705,3.512613690693861,3.5122992647855757,3.5129281166021467,0.2966944822658704,0.29591969027265547,0.29746927425908537,0.7716720056926724,0.7716045666094993,0.7717394447758454
2018-03-16,103271637,103254850.22038427,103288423.77961573,195959965,195935542.3884974,195984387.6115026,295274642,295238045.41506904,295311238.58493096,3.530232560513062,3.52993043313189,3.530534687894234,0.2977736297886906,0.296979895136086,0.29856736444129517,0.7669559655450483,0.7669048018315487,0.7670071292585479
2018-03-17,75807365,75790132.09613019,75824597.90386981,196034125,196007871.9222282,196060378.0777718,295381479,295344456.9644713,295418501.0355287,3.5265705039875073,3.5262592339821506,3.526881773992864,0.344136394364535,0.3431849553139866,0.3450878334150835,0.7560555573479312,0.7559917358630736,0.7561193788327888
2018-03-18,73113370,73095121.33481006,73131618.66518994,195980882,195952996.66115436,196008767.33884564,295407379,295369148.3043627,295445609.6956373,3.526520852171693,3.5262213455118365,3.526820358831549,0.3494516723807267,0.3484113236399342,0.3504920211215192,0.7553658609333506,0.7553100925356692,0.755421629331032
2018-03-19,108723701,108702008.826707,108745393.173293,196555276,196524770.5571889,196585781.4428111,295803298,295764380.06996584,295842215.93003416,3.5093476961666497,3.5090319056408683,3.509663486692431,0.2852861385465235,0.28462435738656644,0.2859479197064806,0.7544709973021905,0.7544114898434773,0.7545305047609037
2018-03-20,111231940,111215064.63373184,111248815.36626816,196620416,196590593.91151798,196650238.08848202,296061050,296022995.5335498,296099104.4664502,3.510677950147354,3.510341360886968,3.51101453940774,0.27190209396225234,0.27119500139514535,0.27260918652935934,0.7563264068990881,0.7562677595444761,0.7563850542537002
