date,adi
2016-07-28,113553352
2016-07-29,106975733
2016-07-30,77744633
2016-07-31,78401816
2016-08-01,115811144
2016-08-02,115531973
2016-08-03,114420574
2016-08-04,112094036
2016-08-05,106112712
2016-08-06,78038832
2016-08-07,76362988
2016-08-08,115006218
2016-08-09,115406840
2016-08-10,113967948
2016-08-11,111196262
2016-08-12,104257928
2016-08-13,76215197
2016-08-14,74707778
2016-08-15,104495718
2016-08-16,113920198
2016-08-17,112596324
2016-08-18,112315616
2016-08-19,107093229
2016-08-20,80776523
2016-08-21,81539071
2016-08-22,120145634
2016-08-23,119873174
2016-08-24,119291609
2016-08-25,117402215
2016-08-26,108799155
2016-08-27,79627876
2016-08-28,79559453
2016-08-29,121564183
2016-08-30,121745650
2016-08-31,121044937
2016-09-01,119553881
2016-09-02,112072634
2016-09-03,80882093
2016-09-04,80805595
2016-09-05,116648989
2016-09-06,123900228
2016-09-07,120359426
2016-09-08,121158804
2016-09-09,114388621
2016-09-10,81574519
2016-09-11,80443446
2016-09-12,119148150
2016-09-13,121909958
2016-09-14,120977378
2016-09-15,118276132
2016-09-16,110761395
2016-09-17,83080941
2016-09-18,84530342
2016-09-19,126318374
2016-09-20,125920395
2016-09-21,126507513
2016-09-22,123009988
2016-09-23,115459598
2016-09-24,83236358
2016-09-25,83341103
2016-09-26,128230777
2016-09-27,126991863
2016-09-28,124900168
2016-09-29,123949332
2016-09-30,115935311
2016-10-01,82554748
2016-10-02,81562694
2016-10-03,121916970
2016-10-04,125499016
2016-10-05,123665034
2016-10-06,122590438
2016-10-07,114744837
2016-10-08,84032767
2016-10-09,83681747
2016-10-10,123114778
2016-10-11,122931520
2016-10-12,118491704
2016-10-13,124730421
2016-10-14,116532224
2016-10-15,83880703
2016-10-16,83228772
2016-10-17,128693910
2016-10-18,128133355
2016-10-19,125976534
2016-10-20,126540659
2016-10-21,117741933
2016-10-22,85443931
2016-10-23,84956843
2016-10-24,128728179
2016-10-25,128385360
2016-10-26,126073586
2016-10-27,124196225
2016-10-28,115403064
2016-10-29,83414918
2016-10-30,83577043
2016-10-31,119309232
2016-11-01,115949609
2016-11-02,123243070
2016-11-03,125566334
2016-11-04,116761809
2016-11-05,86657687
2016-11-06,86780547
2016-11-07,130743053
2016-11-08,129289630
2016-11-09,128438967
2016-11-10,126242091
2016-11-11,113366145
2016-11-12,85664105
2016-11-13,85584506
2016-11-14,128285366
2016-11-15,127103543
2016-11-16,127964051
2016-11-17,126196628
2016-11-18,119382047
2016-11-19,86778715
2016-11-20,85385270
2016-11-21,129213925
2016-11-22,128116178
2016-11-23,123842589
2016-11-24,117345615
2016-11-25,112984158
2016-11-26,85346273
2016-11-27,85494382
2016-11-28,129623450
2016-11-29,129807648
2016-11-30,127644475
2016-12-01,126310669
2016-12-02,118845857
2016-12-03,86221491
2016-12-04,85507305
2016-12-05,129147166
2016-12-06,126520519
2016-12-07,126190110
2016-12-08,120485416
2016-12-09,116583885
2016-12-10,85281303
2016-12-11,84555581
2016-12-12,124555375
2016-12-13,126594275
2016-12-14,125152542
2016-12-15,123323335
2016-12-16,114968496
2016-12-17,83413550
2016-12-18,82505223
2016-12-19,122524007
2016-12-20,120362626
2016-12-21,117045838
2016-12-22,112384567
2016-12-23,99857170
2016-12-24,72375690
2016-12-25,67562351
2016-12-26,90808784
2016-12-27,104293413
2016-12-28,104832816
2016-12-29,102907619
2016-12-30,95754091
2016-12-31,72427824
2017-01-01,70918502
2017-01-02,98665543
2017-01-03,114290144
2017-01-04,116035840
2017-01-05,114680242
2017-01-06,105516144
2017-01-07,84477373
2017-01-08,83157039
2017-01-09,124912696
2017-01-10,125340633
2017-01-11,124227142
2017-01-12,123258510
2017-01-13,116694084
2017-01-14,84464333
2017-01-15,84142906
2017-01-16,124192287
